商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家编码-规格维度,商家编码-商品维度,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-117157414490460,已发货，待收货,168.99	,0.0	,0.0	,20.27	,0.0	,148.72	,168.99	,1	,2026-06-06 16:18:36,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000201802,快捷快物流,2026-06-06 16:15:45,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-602060920471278,已发货，待收货,168.99	,0.0	,0.0	,8.44	,0.0	,160.55	,168.99	,1	,2026-06-06 16:18:36,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000201803,快捷快物流,2026-06-06 15:15:56,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-060660139582475,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-06 13:35:32,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000200529,快捷快物流,2026-06-06 12:50:09,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-292898741821797,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.17	,143.65	,168.99	,1	,2026-06-06 13:35:32,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000200530,快捷快物流,2026-06-06 12:27:56,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-303499875913643,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-06 13:35:33,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000200532,快捷快物流,2026-06-06 11:21:18,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-354041260371221,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-06 13:35:33,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000200534,快捷快物流,2026-06-06 10:44:26,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-237460538983556,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-06 13:35:33,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000200535,快捷快物流,2026-06-06 10:38:23,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-383170649732453,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-06 13:35:34,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000200537,快捷快物流,2026-06-06 09:09:53,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-225622167932255,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-06 13:35:34,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000200538,快捷快物流,2026-06-06 09:06:41,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260606-019482560131821,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-06 13:35:34,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000200539,快捷快物流,2026-06-06 08:41:31,否,,	,
